"date","price"
1960-01-01,35
1960-02-01,35
1960-03-01,35
1960-04-01,35
1960-05-01,35
1960-06-01,35
1960-07-01,35
1960-08-01,35
1960-09-01,35
1960-10-01,35
1960-11-01,35
1960-12-01,35
1961-01-01,35
1961-02-01,35
1961-03-01,35
1961-04-01,35
1961-05-01,35
1961-06-01,35
1961-07-01,35
1961-08-01,35
1961-09-01,35
1961-10-01,35
1961-11-01,35
1961-12-01,35
1962-01-01,35
1962-02-01,35
1962-03-01,35
1962-04-01,35
1962-05-01,35
1962-06-01,35
1962-07-01,35
1962-08-01,35
1962-09-01,35
1962-10-01,35
1962-11-01,35
1962-12-01,35
1963-01-01,35
1963-02-01,35
1963-03-01,35
1963-04-01,35
1963-05-01,35
1963-06-01,35
1963-07-01,35
1963-08-01,35
1963-09-01,35
1963-10-01,35
1963-11-01,35
1963-12-01,35
1964-01-01,35
1964-02-01,35
1964-03-01,35
1964-04-01,35
1964-05-01,35
1964-06-01,35
1964-07-01,35
1964-08-01,35
1964-09-01,35
1964-10-01,35
1964-11-01,35
1964-12-01,35
1965-01-01,35
1965-02-01,35
1965-03-01,35
1965-04-01,35
1965-05-01,35
1965-06-01,35
1965-07-01,35
1965-08-01,35
1965-09-01,35
1965-10-01,35
1965-11-01,35
1965-12-01,35
1966-01-01,35
1966-02-01,35
1966-03-01,35
1966-04-01,35
1966-05-01,35
1966-06-01,35
1966-07-01,35
1966-08-01,35
1966-09-01,35
1966-10-01,35
1966-11-01,35
1966-12-01,35
1967-01-01,35
1967-02-01,35
1967-03-01,35
1967-04-01,35
1967-05-01,35
1967-06-01,35
1967-07-01,35
1967-08-01,35
1967-09-01,35
1967-10-01,35
1967-11-01,35
1967-12-01,35
1968-01-01,36
1968-02-01,36
1968-03-01,37
1968-04-01,38
1968-05-01,41
1968-06-01,41
1968-07-01,39
1968-08-01,39
1968-09-01,40
1968-10-01,39
1968-11-01,40
1968-12-01,41
1969-01-01,42
1969-02-01,43
1969-03-01,43
1969-04-01,43
1969-05-01,43
1969-06-01,41
1969-07-01,42
1969-08-01,41
1969-09-01,41
1969-10-01,40
1969-11-01,37
1969-12-01,35
1970-01-01,35
1970-02-01,35
1970-03-01,35
1970-04-01,36
1970-05-01,36
1970-06-01,35
1970-07-01,35
1970-08-01,35
1970-09-01,36
1970-10-01,38
1970-11-01,37
1970-12-01,37
1971-01-01,38
1971-02-01,39
1971-03-01,39
1971-04-01,39
1971-05-01,41
1971-06-01,40
1971-07-01,41
1971-08-01,43
1971-09-01,42
1971-10-01,43
1971-11-01,43
1971-12-01,43
1972-01-01,46
1972-02-01,48
1972-03-01,48
1972-04-01,49
1972-05-01,55
1972-06-01,62
1972-07-01,66
1972-08-01,67
1972-09-01,65
1972-10-01,65
1972-11-01,63
1972-12-01,64
1973-01-01,65
1973-02-01,74
1973-03-01,84
1973-04-01,91
1973-05-01,102
1973-06-01,120
1973-07-01,120
1973-08-01,107
1973-09-01,103
1973-10-01,100
1973-11-01,95
1973-12-01,107
1974-01-01,129
1974-02-01,150
1974-03-01,168
1974-04-01,172
1974-05-01,163
1974-06-01,154
1974-07-01,143
1974-08-01,155
1974-09-01,152
1974-10-01,159
1974-11-01,182
1974-12-01,184
1975-01-01,176
1975-02-01,180
1975-03-01,178
1975-04-01,170
1975-05-01,167
1975-06-01,164
1975-07-01,165
1975-08-01,163
1975-09-01,144
1975-10-01,143
1975-11-01,142
1975-12-01,139
1976-01-01,131
1976-02-01,131
1976-03-01,133
1976-04-01,128
1976-05-01,127
1976-06-01,126
1976-07-01,118
1976-08-01,110
1976-09-01,114
1976-10-01,116
1976-11-01,130
1976-12-01,134
1977-01-01,132
1977-02-01,136
1977-03-01,148
1977-04-01,149
1977-05-01,147
1977-06-01,141
1977-07-01,143
1977-08-01,145
1977-09-01,150
1977-10-01,159
1977-11-01,162
1977-12-01,160
1978-01-01,173
1978-02-01,178
1978-03-01,184
1978-04-01,175
1978-05-01,176
1978-06-01,184
1978-07-01,189
1978-08-01,206
1978-09-01,212
1978-10-01,227
1978-11-01,206
1978-12-01,208
1979-01-01,227
1979-02-01,246
1979-03-01,242
1979-04-01,239
1979-05-01,258
1979-06-01,279
1979-07-01,295
1979-08-01,301
1979-09-01,355
1979-10-01,392
1979-11-01,392
1979-12-01,455
1980-01-01,675
1980-02-01,665
1980-03-01,554
1980-04-01,517
1980-05-01,514
1980-06-01,601
1980-07-01,643
1980-08-01,627
1980-09-01,674
1980-10-01,661
1980-11-01,625
1980-12-01,538
1981-01-01,557
1981-02-01,500
1981-03-01,499
1981-04-01,496
1981-05-01,480
1981-06-01,461
1981-07-01,409
1981-08-01,410
1981-09-01,444
1981-10-01,438
1981-11-01,413
1981-12-01,410
1982-01-01,384
1982-02-01,374
1982-03-01,330
1982-04-01,350
1982-05-01,334
1982-06-01,315
1982-07-01,339
1982-08-01,364
1982-09-01,437
1982-10-01,422
1982-11-01,415
1982-12-01,445
1983-01-01,481
1983-02-01,491
1983-03-01,420
1983-04-01,433
1983-05-01,438
1983-06-01,413
1983-07-01,403
1983-08-01,416
1983-09-01,412
1983-10-01,394
1983-11-01,382
1983-12-01,388
1984-01-01,371
1984-02-01,386
1984-03-01,394
1984-04-01,381
1984-05-01,377
1984-06-01,378
1984-07-01,348
1984-08-01,348
1984-09-01,340
1984-10-01,341
1984-11-01,342
1984-12-01,320
1985-01-01,303
1985-02-01,299
1985-03-01,314
1985-04-01,327
1985-05-01,316
1985-06-01,317
1985-07-01,317
1985-08-01,330
1985-09-01,323
1985-10-01,326
1985-11-01,322
1985-12-01,322
1986-01-01,347
1986-02-01,339
1986-03-01,346
1986-04-01,340
1986-05-01,342
1986-06-01,343
1986-07-01,348
1986-08-01,377
1986-09-01,418
1986-10-01,424
1986-11-01,398
1986-12-01,391
1987-01-01,408
1987-02-01,401
1987-03-01,409
1987-04-01,438
1987-05-01,460
1987-06-01,450
1987-07-01,451
1987-08-01,461
1987-09-01,460
1987-10-01,465
1987-11-01,468
1987-12-01,486
1988-01-01,477
1988-02-01,442
1988-03-01,444
1988-04-01,452
1988-05-01,451
1988-06-01,451
1988-07-01,438
1988-08-01,431
1988-09-01,413
1988-10-01,407
1988-11-01,420
1988-12-01,419
1989-01-01,404
1989-02-01,388
1989-03-01,390
1989-04-01,384
1989-05-01,371
1989-06-01,368
1989-07-01,375
1989-08-01,365
1989-09-01,362
1989-10-01,367
1989-11-01,394
1989-12-01,409
1990-01-01,410
1990-02-01,417
1990-03-01,393
1990-04-01,374
1990-05-01,369
1990-06-01,352
1990-07-01,363
1990-08-01,395
1990-09-01,389
1990-10-01,381
1990-11-01,382
1990-12-01,377
1991-01-01,384
1991-02-01,364
1991-03-01,363
1991-04-01,358
1991-05-01,357
1991-06-01,367
1991-07-01,368
1991-08-01,356
1991-09-01,349
1991-10-01,359
1991-11-01,360
1991-12-01,362
1992-01-01,354
1992-02-01,354
1992-03-01,344
1992-04-01,339
1992-05-01,337
1992-06-01,341
1992-07-01,353
1992-08-01,343
1992-09-01,345
1992-10-01,344
1992-11-01,335
1992-12-01,335
1993-01-01,329
1993-02-01,329
1993-03-01,330
1993-04-01,342
1993-05-01,367
1993-06-01,372
1993-07-01,392
1993-08-01,379
1993-09-01,355
1993-10-01,364
1993-11-01,374
1993-12-01,383
1994-01-01,387
1994-02-01,382
1994-03-01,384
1994-04-01,377
1994-05-01,381
1994-06-01,386
1994-07-01,385
1994-08-01,380
1994-09-01,392
1994-10-01,390
1994-11-01,384
1994-12-01,379
1995-01-01,379
1995-02-01,377
1995-03-01,382
1995-04-01,391
1995-05-01,385
1995-06-01,388
1995-07-01,386
1995-08-01,384
1995-09-01,383
1995-10-01,383
1995-11-01,385
1995-12-01,387
1996-01-01,399
1996-02-01,405
1996-03-01,396
1996-04-01,393
1996-05-01,392
1996-06-01,385
1996-07-01,383
1996-08-01,387
1996-09-01,383
1996-10-01,381
1996-11-01,378
1996-12-01,369
1997-01-01,355
1997-02-01,347
1997-03-01,352
1997-04-01,344
1997-05-01,344
